day_cnt,Close Price
1601,373.7
1602,374.75
1605,369.9
1606,375
1607,383.05
1608,383.35
1609,391.05
1612,391.8
1613,383.5
1614,387.25
1615,388.55
1616,405.35
1619,400.95
1620,401.3
1621,404.9
1622,400.1
1623,396.1
1626,394.3
1627,397.35
1628,398.1
1629,394.55
1630,393.65
1633,399.7
1634,415.4
1635,412.3
1636,411.35
1637,411.4
1640,407.7
1641,421.25
1642,425.5
1643,424.05
1644,417.5
1647,419.75
1648,428.9
1649,417.15
1650,417.15
1651,419.95
1654,419.95
1655,434.15
1656,436.65
1657,438.3
1658,430.15
1661,425.45
1662,428.65
1663,432.35
1664,431.5
1665,426.05
1668,423.6
1669,420.85
1670,420.15
1671,420.35
1672,439.05
1675,431.7
1676,443.4
1677,438.5
1678,431.4
1679,414.7
1682,407.95
1683,392.7
1684,371.4
1685,377.05
1686,377.55
1689,379.85
1690,364.15
1691,355.65
1692,349.85
1693,348.65
1696,336.6
1697,353.6
1698,358.15
1699,361.85
1700,357.55
1703,366.35
1704,354.7
1705,344.35
1706,345.3
1707,347.5
1710,337.45
1711,337.35
1712,338.95
1713,338.35
1714,333.85
1717,339.3
1718,338.05
1719,337.45
1721,343.35
1724,342.2
1725,323.6
1726,327.8
1727,318.4
1731,308.85
1732,315.4
1733,327.6
1734,328.35
1738,329.75
1739,342.7
1740,346.25
1741,346.2
1742,335.85
1745,334.4
1746,340.35
1747,334.75
1748,341.4
1749,338.6
1752,337.8
1753,334.95
1754,337.25
1756,341.9
1759,333.4
1760,332.3
1761,330.2
1762,321.8
1763,319.9
1766,325
1767,325.85
1768,330.45
1769,337.1
1770,342.2
1773,339.6
1774,326.05
1775,328.25
1777,337.7
1780,330.75
1781,332.35
1782,335.05
1783,333.7
1784,333.3
1787,332.2
1788,332.4
1790,335.8
1791,336.5
1794,330.55
1795,341.55
1796,338.35
1797,334.8
1798,335.25
1801,327.55
1802,318
1803,307.6
1804,310.95
1805,307.75
1808,316.15
1809,314.55
1810,316.8
1811,316.05
1812,316.35
1815,319.3
1816,319.1
1817,322.5
1818,322.3
1822,325.5
1823,321.75
1824,322.1
1825,329.8
1826,334.05
1829,330.2
1830,325.8
1831,327.9
1832,326.4
1833,321.1
1836,315.95
1837,316
1838,317.3
1839,318.65
1840,318.55
1843,310.85
1844,308.85
1845,298.15
1846,288.2
1847,299.45
1850,304.9
1852,304.05
1853,306.6
1854,319.95
1857,328.55
1858,318.95
1859,317.25
1860,322.5
1861,326.25
1864,323.35
1865,309.25
1866,313.75
1867,305.1
1868,302.85
1871,324.25
1872,317.9
1873,312.8
1874,317.6
1875,312.25
1878,313.9
1879,301.1
1880,295.25
1881,299.4
1882,311.45
1885,311
1886,317.85
1887,311
1888,314.1
1889,325.15
1893,324.05
1894,322.5
1895,321.7
1896,318.9
1899,296.7
1900,295.65
1901,295.65
1902,294.25
1903,297.75
1906,296.6
1907,294.4
1908,298
1913,293.5
1914,295.15
1915,296.85
1916,291.95
1917,287
1920,285
1921,275.25
1922,275.6
1923,281.25
1924,279.6
1927,280.45
1928,274.4
1929,277.45
1934,275.8
1936,278.65
1937,287.75
1938,287.8
1941,287.95
1942,288.3
1943,290.9
1944,285.05
1945,288.05
1948,288.65
1949,279.15
1950,279.95
1951,281.8
1952,281.9
1955,285.6
1956,284.9
1957,283.8
1958,283.85
1959,281.45
1962,282.85
1963,283.85
1964,283.95
1965,280.3
1966,279
1969,280.5
1970,279.55
1971,281
1972,280.85
1973,281.3
1976,292.55
1977,291.4
1978,297.2
1979,307.35
1980,308.95
1983,305.8
1984,307.8
1985,306.8
1986,313
1987,306.65
1990,308.5
1991,308.85
1992,309.75
1993,307.55
1994,313.2
1997,312.35
1998,313
1999,317.5
2000,317.55
2001,312.25
2004,308.1
2005,313.3
2006,311
2007,313
2008,310.1
2011,317.95
2012,321.95
2014,315.55
2015,311.7
2018,320.9
2019,317.05
2020,324.05
2021,324.65
2022,318.85
2025,321.65
2026,318.95
2027,329.25
2028,333.35
2029,331.45
2032,333.75
2033,327.45
2034,325.55
2035,329.95
2036,328
2039,326.45
2040,323.05
2041,326.15
2042,323.5
2043,329.4
2046,331.95
2047,337.15
2048,337.95
2049,337.8
2050,337.95
2054,337.8
2055,347.8
2056,339.05
2057,334.15
2060,334.9
2061,336.65
2062,333.95
2063,331.3
2064,333.3
2067,333.85
2068,334.65
2069,333.5
2070,338
2071,332.3
2075,328.85
2076,331
2077,332.55
2078,332.2
2081,330.45
2083,324.35
2084,323.75
2085,324.55
2088,328.3
2089,329.25
2090,331
2091,327.45
2092,328.4
2095,332.45
2096,332.75
2097,328.45
2098,327.65
2099,322.3
2102,327.9
2103,321.1
2104,321.25
2105,318.55
2106,318.8
2109,318.9
2112,315.5
2113,313.05
2116,311.25
2117,312.55
2118,312.55
2119,312.6
2120,313.3
2123,321.25
2124,319.65
2125,319.3
2126,316.3
2127,324.8
2129,325.4
2131,330.05
2132,327.95
2133,327
2134,315.9
2137,319.3
2138,317.05
2139,317.05
2140,333.2
2141,324.05
2145,313.65
2146,313.05
2147,306.85
2148,306.7
2151,300.75
2152,303.4
2153,304.05
2154,300.35
2155,304.25
2158,304.9
2159,308.4
2160,308.6
2161,306.3
2162,305.85
2165,305.35
2166,305.7
2167,305.3
2168,312.1
2169,306.45
2172,305.3
2173,305.95
2174,292
2175,290.15
2176,288.25
2179,287.35
2180,290.6
2181,292.2
2182,287.65
2183,287.85
2186,285
2187,288.95
2188,295.2
2189,298.65
2190,300
2557,266.65
2558,270.05
2559,271.85
2560,277.8
2561,278.75
2564,287.45
2565,304.05
2566,308.3
2567,308.1
2568,309
2571,305.9
2572,291.6
2573,290.95
2574,283.05
2575,284
2578,285.05
2579,293.1
2580,294.55
2581,299.4
2585,301.75
2586,305.9
2587,299.55
2588,295.6
2589,290.35
2592,294.8
2593,290.35
2594,297.6
2595,300
2596,300.15
2599,300.65
2601,306.95
2602,308.1
2603,303.5
2606,305.4
2607,310.4
2608,310.55
2609,311.55
2610,310.95
2613,314.05
2614,309
2615,309.15
2616,312.9
2620,305.8
2621,307
2622,306.95
2623,305.5
2624,304.05
2627,297.65
2628,294.85
2629,293.1
2630,295.5
2631,278.2
2634,272.3
2635,270.25
2636,270.9
2637,269.4
2638,269.95
2641,273.45
2642,276.2
2643,283.3
2648,277.5
2649,278.95
2650,274.55
2651,277.8
2652,275.8
2655,274.45
2656,280.9
2657,283.4
2658,281.5
2659,285
2662,286.1
2663,287.6
2664,285.1
2665,283.2
2666,292.05
2669,289.8
2670,290.5
2671,290.95
2672,290.8
2673,286.75
2676,285
2678,280.5
2679,276.95
2680,271.3
2683,267.4
2684,268.15
2685,267.35
2686,269.35
2687,271
2690,270.05
2691,263.5
2692,263.5
2693,271.5
2694,266.8
2697,270.25
2698,279.05
2699,276.2
2700,280.1
2701,275.6
2704,284.8
2705,282.35
2706,289.05
2707,296.25
2708,294.65
2711,292.6
2712,285.25
2713,290.65
2714,288.9
2715,289.9
2718,287.9
2719,283.55
2720,284
2721,283.2
2722,279.05
2725,274.2
2726,272.95
2727,270.6
2728,267.7
2729,264.85
2732,259
2733,265.15
2734,265.9
2735,260.65
2736,264.35
2739,260.55
2740,260.85
2741,264.35
2742,270.3
2743,271.2
2746,271.15
2747,278.45
2748,264.8
2749,265.25
2750,267.8
2753,261.15
2754,264.75
2755,262.15
2756,261.2
2757,263.5
2760,261.7
2761,266.65
2762,264.65
2763,265.1
2764,262.15
2767,262.5
2768,261.1
2769,270.65
2770,273.55
2771,279.25
2774,283.15
2775,275.4
2776,276
2777,280.1
2778,275.8
2781,279.05
2782,282.65
2784,282.7
2785,281.4
2788,284.05
2789,291.4
2791,289.05
2792,291
2795,293.15
2796,294.7
2797,286.3
2798,285.6
2799,285.95
2802,287.65
2803,279.6
2804,277.6
2805,283.65
2806,286.55
2809,279.6
2810,283.1
2811,281.55
2813,277.35
2816,274.95
2817,273.2
2818,280.65
2820,275.25
2823,281.15
2824,275.25
2825,272.55
2826,276.25
2827,266.25
2830,272.8
2832,276.75
2833,273.3
2834,263
2837,267.9
2838,273.95
2839,272.7
2840,266.6
2841,278.6
2844,275.65
2845,276.4
2846,279.9
2848,275.15
2851,275.5
2852,277.35
2853,277.25
2854,282.2
2855,281.1
2858,287.4
2859,275.85
2860,266.15
2861,261.1
2862,261.55
2865,264.35
2866,265.9
2867,266.95
2869,268.45
2872,263.9
2873,265.55
2874,265.75
2875,263.15
2876,263.65
2879,264.15
2880,261.45
2881,260.95
2882,256.65
2886,250.75
2887,251.9
2888,247.85
2889,246.9
2890,244.9
2893,249
2894,252.25
2895,245.3
2896,240.6
2897,236.75
2900,238.15
2901,242.1
2902,247
2903,244.55
2904,247.15
2907,251.45
2908,251.85
2909,251
2910,250.55
2911,252.75
2914,248.3
2916,247.05
2917,250.2
2918,242.3
2921,240.75
2922,241.5
2923,236.7
2924,235
2925,236.5
2928,234.5
2929,233.3
2930,232.65
2931,233
2932,232.25
2935,230.9
2936,232.65
2937,232.05
2938,232.05
2939,230
2942,229
2943,227.75
2944,225.55
2945,223.85
2946,220.95
2949,225.2
2950,222.55
2951,225.2
2952,224.65
2953,223.2
2956,222.1
2957,216.4
2958,219.95
2959,224.2
2960,218.65
2963,218.8
2964,223.05
2965,220.25
2966,217.2
2967,219.95
2970,215.15
2971,214.25
2972,214.95
2973,213.7
2974,214.95
2977,214.35
2978,220.15
2979,221.45
2980,228.3
2981,232.65
2985,241.15
2986,242.75
2987,235
2988,234.9
2991,243.4
2992,242.95
2993,238.65
2994,243.2
2995,244.35
2998,244.2
2999,242.9
3000,237
3002,231.5
3002,231.95
3005,237.2
3006,236.45
3007,234.45
3008,236.1
3009,237.2
3012,236.4
3013,236.4
3014,234.1
3015,234.8
3016,234.7
3019,232.95
3020,238.4
3021,240.05
3022,240.95
3023,240.8
3026,250
3027,251.6
3029,251.45
3033,252.05
3034,255.5
3035,254
3036,251.65
3037,250.5
3041,252.15
3043,252.35
3044,252.1
3047,251.35
3048,248.8
3049,249.1
3050,242.3
3051,241.25
3054,242.1
3055,241.8
3056,235.1
3057,232.15
3058,236.15
3061,237.7
3062,237.2
3063,241.25
3064,244.15
3065,244.9
3068,244.1
3069,250.7
3070,250.7
3071,252.95
3072,253.5
3075,260.9
3076,263.4
3078,269.15
3079,265.55
3082,259.3
3083,258.75
3084,257
3085,255.6
3086,255.15
3089,255.3
3090,260.35
3091,257.05
3092,260.35
3093,254.25
3096,256.75
3097,258.35
3098,260.3
3099,259.4
3100,253.8
3103,249.25
3104,252.7
3105,250.95
3106,251.1
3107,241.9
3110,232.4
3111,229.6
3112,233.35
3113,234.9
3114,231.25
3117,230.4
3118,232.8
3119,230
3120,220.3
3121,221.9
3124,221.4
3125,218.05
3126,216.85
3127,209.05
3128,210.65
3131,205.4
3132,199.55
3133,204.45
3134,202.45
3135,197.2
3138,200.6
3139,205.1
3140,206.1
3141,211.85
3142,207.6
3146,203.75
3147,200.5
3149,201.95
3152,198.95
3153,195.3
3154,188.8
3155,180.85
3156,188
3159,188.75
3160,191.85
3161,185.05
3162,189
3163,184.75
3167,181.05
3168,182.15
3169,194.85
3170,198.6
3173,199.35
3175,196.7
3176,197.7
3177,198.2
3180,200.55
3181,197.6
3182,192.35
3183,193.45
3184,200.05
3187,202.7
3188,198.15
3189,192.6
3190,203.3
3191,199.35
3194,199.85
3195,194.1
3197,186.75
3198,185.8
3201,184.4
3203,185.35
3204,184.55
3205,189.05
3208,190.1
3209,191.15
3210,194.55
3211,199.4
3212,205.95
3216,208.8
3217,208.8
3218,205.2
3219,205.85
3221,202.85
3223,209.75
3224,206.25
3225,207.55
3226,207.1
3229,215
3230,211.15
3231,212.4
3232,212.5
3233,209.25
3236,209.85
3238,207.25
3239,202.35
3240,201.15
3243,200.3
3244,199.6
3245,203.05
3246,196.6
3247,199
3250,200.7
3251,197.75
3252,201
3253,205.85
3254,205.25
3257,205.85
3258,205.6
3259,202.75
3260,196.4
3261,192
3264,191.65
3265,187.2
3266,187.15
3267,190.15
3268,196.25
3271,192.6
3272,196.2
3273,197.75
3274,196.9
3275,200.8
3278,197.25
3279,198.95
3281,197.3
3282,203.5
3285,205.8
3286,211.35
3287,211.95
3288,211.1
3289,211.85
3292,205.7
3293,205.7
3294,200.2
3295,198
3296,205.3
3299,211.55
3300,212.95
3301,212.45
3302,210.25
3303,207.9
3306,201.15
3307,202.15
3308,191.9
3309,190.75
3310,193.95
3313,193.35
3314,189.15
3315,191.05
3316,187.95
3317,181.7
3318,173.5
3320,178.65
3321,182.5
3322,179.25
3323,179.95
3324,185.05
3327,178.85
3328,179.35
3329,180.3
3330,177.8
3331,174.75
3334,167.85
3335,171.85
3336,177.75
3337,179.35
3341,174.85
3342,175.1
3343,173.8
3344,174.1
3345,168.4
3348,169.35
3349,178.2
3350,178.1
3351,177.15
3352,168.75
3355,157.95
3357,168
3358,154.55
3359,154.1
3362,143.9
3363,145.9
3364,145.05
3365,123.55
3366,132.8
3369,127.85
3370,127.85
3371,124.5
3372,123.25
3373,131.7
3376,133.15
3377,140.05
3378,139.45
3380,137.75
3384,140.15
3385,137.35
3386,140.8
3390,145.9
3392,146.85
3393,147.4
3394,148.75
3397,144.2
3398,139
3399,140.7
3400,140.9
3401,137
3404,138.1
3405,135.4
3406,139.85
3407,148.5
3411,142.3
3412,138
3413,133.75
3414,130.8
3415,129
3418,128.45
3419,126.85
3420,130.6
3421,128.65
3422,129.6
3425,121.7
3426,123.6
3427,123.25
3428,124.5
3429,125.2
3433,127.25
3434,130.8
3435,133.9
3436,141.3
3439,148.55
3440,143.4
3441,141.7
3442,140.25
3443,144.85
3446,146.7
3447,144.3
3448,140.7
3449,137.7
3450,134.65
3453,132.1
3454,131.15
3455,129.45
3456,137.6
3457,137.25
3460,143.65
3461,143.85
3462,141.55
3463,140.4
3464,142.1
3467,134.85
3468,132.85
3469,133.85
3470,133.6
3471,135.25
3474,135.85
3475,132.85
3476,132.85
3477,130.4
3478,131.2
3481,130.5
3482,128.25
3483,128
3484,126.15
3485,130.6
3488,133
3489,133.1
3490,134.1
3491,133.45
3492,131.6
3495,129.95
3496,130.45
3497,131.2
3498,128.6
3499,129.25
3502,128.4
3503,128.75
3504,128.45
3505,128.85
3506,129.75
3509,129.25
3510,130.1
3511,128.7
3512,128.95
3513,131.85
3516,136
3517,136.65
3518,135.1
3519,138.5
3520,139.5
3523,139.8
3524,140.45
3525,141.95
3526,140.55
3527,139.05
3530,134.35
3531,133.45
3532,136.3
3533,135.7
3534,132.45
3537,131.95
3538,129.95
3539,126.95
3540,126.65
3541,125.1
3544,124.95
3545,124.1
3546,123.85
3547,124.3
3548,123.65
3551,121.65
3552,119.55
3553,121.05
3554,115.7
3555,117.1
3558,120
3559,117.65
3560,116
3561,117.25
3565,118.4
3566,116.8
3567,114.45
3568,113.3
3569,114.9
3572,113.2
3573,113.85
3574,110.55
3575,110.6
3576,111.35
3579,114.7
3580,113.65
3581,115.1
3582,115.8
3583,117.7
3586,114.55
3587,113.95
3588,112.7
3589,110.85
3590,114.2
3593,115.7
3594,116.5
3595,114.8
3596,119.85
3597,121.8
3600,121.75
3601,124.8
3602,125.85
3603,122.1
3604,125.9
3605,127.1
3608,128.7
3609,128.25
3610,122.05
3611,121.45
3614,122.75
3615,123.25
3616,123.95
3617,125.05
3618,125.55
3622,126.4
3623,129.75
3624,133.45
3625,133.3
3628,136.8
3629,134.25
3630,134.7
3631,134.85
3632,138.25
3635,143.35
3636,143.1
3637,145.5
3638,143.45
3639,141.7
3642,132.95
3643,135.5
3644,135.05
3645,136.25
3649,137.65
3650,135.1
3651,135.6
3652,135.45
3653,135.35
3656,137.25
3657,135.15
3658,135.1
3659,136.5
3660,139.7
3663,141.7
3664,146.65
3665,145.8
3666,146.65
3667,143.25
3670,138.7
3671,140.1
3672,141.5
3673,137.35
3674,133.2
3677,131.85
3679,129.15
3680,128.2
3681,125.9
3684,129
3685,131.25
3686,137.25
3687,143.6
3688,140.85
3691,141.55
3692,139.25
3693,138.3
3694,137.15
3695,133.85
3698,132.25
3699,133.75
3700,135.2
3701,139.95
3702,139.25
3705,136.25
3706,136.9
3707,144.4
3708,156.1
3709,152.2
3712,154.35
3713,153.4
3714,154.9
3715,152.05
3716,151.1
3719,153.15
3720,151.7
3721,150.95
3723,150.5
3726,146.9
3727,145.7
3728,139.85
3729,137.05
3730,136.3
3733,135.65
3734,135.25
3735,132.3
3736,128.1
3737,129.6
3741,132.95
3742,130.35
3743,132.15
3747,129.8
3748,130.3
3749,131.25
3750,131.65
3751,129.5
3754,124.7
3755,127.95
3757,128.25
3758,127.85
3761,124.6
3762,124.5
3764,125.05
3765,126.15
3768,126.95
3769,127.5
3770,128.5
3771,128.05
3772,133.05
3775,132.2
3776,132.8
3777,133.15
3778,134.6
3779,136.85
3782,147.05
3783,155.7
3784,153.5
3786,146.8
3789,148.15
3790,146.45
3791,151.85
3792,146.65
3793,147.2
3796,148.9
3797,147.45
3798,145.7
3799,144.55
3800,146.9
3803,147.7
3804,147.6
3805,149.1
3806,149.05
3807,153.1
3810,156.25
3811,156
3812,156.4
3813,156.5
3814,162.65
3817,159.35
3818,157.15
3819,155.55
3820,152.15
3821,146.4
3824,147.5
3825,148.7
3826,148.45
3827,146.4
3828,148.75
3831,147.2
3832,144.5
3833,146.65
3834,145.65
